#objID,g,r,i,u
1237645941298889631,22.96846,21.93685,21.46393,25.29497
1237645941298889630,23.56007,21.29834,20.20563,22.67812
1237645941298889629,22.83631,21.79128,20.92153,23.67982
1237645941298889627,22.94666,21.48801,20.60083,23.37044
1237645941298889624,23.01776,21.26808,20.77682,24.84691
1237645941298889621,23.55443,21.9536,21.77243,24.44425
1237645941298889615,23.2468,21.36548,20.35723,24.83315
1237645941298889610,23.11238,21.43701,20.78316,24.31835
1237645941298889608,22.5111,21.23619,20.21885,24.29379
1237645941298889599,22.69501,21.81775,21.73418,23.03664
1237645941298889589,22.54279,21.20067,20.25797,25.67132
1237645941298889588,22.45821,21.03431,20.56273,23.96146
1237645941298889587,22.61446,21.19818,20.72539,23.66482
1237645941298889585,22.86781,21.37338,21.72156,22.51521
1237645941298889584,22.55873,21.94714,21.67418,23.64626
1237645941298889562,22.78618,21.96373,21.78376,24.55462
1237645941298889560,23.37383,21.2764,20.53138,24.75626
1237645941298889552,22.98599,21.94132,20.89331,25.0801
1237645941298889551,23.2554,21.67208,21.20258,22.92704
1237645941298889539,22.95687,21.77529,21.32058,22.53084
1237645941298889537,23.11613,21.6661,21.71985,23.53814
